time;Time Code;country;Country Code;current_health_exp;gdpgrowth;gdppercap;lifeexp_total;lifeexp_male;lifeexp_female;urbanpop
2016;YR2016;Slovak Republic;SVK;7,12513052;3,125410105;19298,07348;77,16585366;73,8;80,7;53,806
2016;YR2016;Slovenia;SVN;8,46829514;3,068087059;24445,55791;81,17560976;78,2;84,3;54,02
2016;YR2016;Solomon Islands;SLB;5,17074913;3,456606233;1454,319082;72,424;70,777;74,287;22,823
2016;YR2016;Somalia;SOM;..;..;..;56,324;54,697;58,022;43,816
2016;YR2016;South Africa;ZAF;8,1098146;0,565344944;7495,352992;63,153;59,803;66,654;65,341
2016;YR2016;South Sudan;SSD;..;-11,18408707;691,687534;57,12;55,64;58,64;19,092
2016;YR2016;Spain;ESP;8,97038932;3,17258966;31539,51029;83,32926829;80,5;86,3;79,84
2016;YR2016;Sri Lanka;LKA;3,89324108;4,486634531;3769,159089;76,482;73,062;79,835;18,311
2016;YR2016;St. Kitts and Nevis;KNA;5,67183165;2,317508505;17557,21922;..;..;..;30,79
2016;YR2016;St. Lucia;LCA;5,30656361;3,890279886;8238,016736;75,752;74,435;77,13;18,558
2016;YR2016;St. Martin (French part);MAF;..;..;..;79,62195122;76,5;82,9;..
2016;YR2016;St. Vincent and the Grenadines;VCT;3,56292208;1,975455939;6692,514817;72,193;69,969;74,786;51,373
2016;YR2016;Sudan;SDN;5,6648529;4,700000042;1911,025651;64,663;62,9;66,457;34,121
2016;YR2016;Suriname;SUR;6,06415279;-5,561193424;7912,618008;71,358;68,183;74,701;66,04
2016;YR2016;Sweden;SWE;10,93479344;2,683966343;56195,88138;82,30731707;80,6;84,1;86,852
2016;YR2016;Switzerland;CHE;12,24760438;1,601223556;76934,32049;83,60243902;81,7;85,6;73,739
2016;YR2016;Syrian Arab Republic;SYR;..;..;..;70,315;64,512;77,084;52,835
2016;YR2016;Tajikistan;TJK;6,99849461;6,872963797;976,1351753;70,397;68,234;72,737;26,851
2016;YR2016;Tanzania;TZA;4,13992059;6,867116196;904,3818923;63,844;61,879;65,786;32,333
2016;YR2016;Thailand;THA;3,71143463;3,356488872;5911,951214;76,403;72,704;80,189;48,448
2016;YR2016;Timor-Leste;TLS;4,02059179;0,706714168;3072,415023;68,735;66,815;70,781;29,85
2016;YR2016;Togo;TGO;6,61568574;4,918356443;644,856576;60,22;59,398;61,023;40,628
2016;YR2016;Tonga;TON;5,26385403;3,37947375;4016,865962;70,607;68,699;72,544;23,222
2016;YR2016;Trinidad and Tobago;TTO;6,5104014;-6,509206979;15614,83158;73,1;70,466;75,811;53,25
2016;YR2016;Tunisia;TUN;6,95195517;1,262528555;4314,953355;76,115;74,102;78,165;68,346
2016;YR2016;Turkey;TUR;4,3143198;3,183831547;14062,73379;76,86;73,826;79,816;74,134
2016;YR2016;Turkmenistan;TKM;6,61802128;6,199999966;6987,068177;67,835;64,4;71,312;50,728
2016;YR2016;Turks and Caicos Islands;TCA;..;4,399701715;..;..;..;..;92,517
2016;YR2016;Tuvalu;TUV;15,45402053;3,034723153;3493,770001;..;..;..;60,645
2016;YR2016;Uganda;UGA;6,16503174;4,781000291;694,009088;61,986;59,83;64,018;22,624
2016;YR2016;Ukraine;UKR;6,72703787;2,440994738;2909,646215;71,47634146;66,73;76,46;69,154
2016;YR2016;United Arab Emirates;ARE;3,51684955;2,988441821;41045,11112;77,47;76,79;78,846;85,965
2016;YR2016;United Kingdom;GBR;9,7623484;1,789236055;42201,64143;81,15609756;79,4;83;82,886
2016;YR2016;United States;USA;17,07341533;1,56721517;52534,36528;78,53902439;76,1;81,1;81,862
2016;YR2016;Uruguay;URY;9,06075776;1,689798162;14124,14386;77,498;73,662;81,115;95,144
2016;YR2016;Uzbekistan;UZB;6,33520937;6,094325243;1909,4371;71,171;69,004;73,328;50,65
2016;YR2016;Vanuatu;VUT;3,69175091;4,000574486;2791,838169;70,021;68,544;71,674;25,062
2016;YR2016;Venezuela, RB;VEN;3,21708435;..;..;72,405;68,687;76,353;88,165
2016;YR2016;Vietnam;VNM;5,65919354;6,210811668;1752,531946;75,172;71,049;79,294;34,51
2016;YR2016;Virgin Islands (U.S.);VIR;..;0,904392765;29729,22179;79,26829268;76;82,7;95,48
2016;YR2016;West Bank and Gaza;PSE;..;4,708435256;2694,522526;73,589;71,945;75,307;75,628
2016;YR2016;Yemen, Rep.;YEM;..;-13,62145844;765,6041721;66,087;64,417;67,789;35,394
2016;YR2016;Zambia;ZMB;4,47720737;3,757177805;1652,284458;62,464;59,697;65,168;42,438
2016;YR2016;Zimbabwe;ZWE;9,41366844;0,755869251;1224,309922;60,294;58,565;61,719;32,296
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Data from database: World Development Indicators;;;;;;;;;;
Last Updated: 09/19/2019;;;;;;;;;;
